,id,Node_1,Node_2,is_atDRearOf,is_atSRearOf,is_inDFrontOf,is_inSFrontOf,is_isIn,is_toLeftOf,is_toRightOf,near_level,lane_id_diff,lane_id,lane_id_Node_2,Name,velocity_diff,abs_distance,abs_distance_level,equal_frequency_velocity_diff,equal_frequency_distance_difff
9126,"(17, 17791809)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,2,12.083045973594572,5,4,2
9127,"(17, 17791809)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,3,21.118712081942878,9,4,5
9128,"(17, 17791810)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,1,12.083045973594572,5,4,2
9129,"(17, 17791810)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,0,20.27313493271329,8,4,4
9130,"(17, 17791811)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,2,12.083045973594572,5,4,2
9131,"(17, 17791811)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,0,21.118712081942878,9,4,5
9132,"(17, 17791812)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,1,12.083045973594572,5,4,2
9133,"(17, 17791812)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-2,20.27313493271329,8,3,4
9134,"(17, 17791813)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,1,12.083045973594572,5,4,2
9135,"(17, 17791813)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-3,21.118712081942878,9,3,5
9136,"(17, 17791814)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,0,12.083045973594572,5,4,2
